tarih,rota,saat_araligi,fiyat,tedarikçi,araç
2025-03-31 00:28:06,fatih_to_istanbul,12 saat,€101.18,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€46.52,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€47.6,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€48.67,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€50.85,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€114.38,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:09,istanbul_to_beyoglu,4 saat,€301.35,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€43.22,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€46.1,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€47.67,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€49.69,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€50.85,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€104.87,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:12,istanbul_to_beyoglu,8 saat,€136.53,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€46.52,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€46.52,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€48.59,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€48.67,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€104.43,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:17,istanbul_to_beyoglu,10 saat,€136.53,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€41.99,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€45.13,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€48.59,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€48.59,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€50.8,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:20,istanbul_to_beyoglu,12 saat,€104.43,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€45.42,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€46.49,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€47.6,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€49.84,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€114.37,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:25,beyoglu_to_istanbul,4 saat,€149.29,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€43.25,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€45.2,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€46.1,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€46.57,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€106.35,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:29,beyoglu_to_istanbul,8 saat,€119.8,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€43.25,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€45.51,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€46.57,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€48.59,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€100.86,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:32,beyoglu_to_istanbul,10 saat,€242.8,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€39.03,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€42.88,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€46.57,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€48.68,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€50.8,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
